"[all run data]","sensibilidad + especificidad","sensibilidad + especificidad","sensibilidad + especificidad","sensibilidad + especificidad","sensibilidad + especificidad","sensibilidad + especificidad","sensibilidad + especificidad","sensibilidad + especificidad","sensibilidad + especificidad","sensibilidad + especificidad","sensibilidad + especificidad","sensibilidad + especificidad","sensibilidad + especificidad","sensibilidad + especificidad","sensibilidad + especificidad","sensibilidad + especificidad","sensibilidad + especificidad","sensibilidad + especificidad"
,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
